01/2003,10000.000000000000
02/2003,9919.646591708912
03/2003,9843.455629345897
04/2003,10235.52269921712
05/2003,10218.897369661987
06/2003,10560.974862650372
07/2003,10774.587162412608
08/2003,11184.980279339312
09/2003,10788.665532748586
10/2003,11219.680158053698
11/2003,11107.463170156558
12/2003,11181.819092977454
01/2004,11451.140984061347
02/2004,11563.337205531618
03/2004,11642.046976168474
04/2004,11645.1001513804
05/2004,11563.592833837778
06/2004,11734.323897929686
07/2004,11580.160145182024
08/2004,11589.395220687067
09/2004,11570.580966833713
10/2004,11563.93720769312
11/2004,11643.581950053864
12/2004,11747.630094229302
01/2005,11916.278519900246
02/2005,12048.192036348652
03/2005,12057.316011681574
04/2005,11910.730721309339
05/2005,12423.639504956178
06/2005,12661.710184369782
07/2005,12958.614510008743
08/2005,12959.610956259296
09/2005,13320.647673024521
10/2005,13112.009978342729
11/2005,13607.950063492386
12/2005,13810.01520516872
01/2006,14010.594516642735
02/2006,14180.44541783353
03/2006,14207.605362921986
04/2006,14199.37849122237
05/2006,13667.314943327438
06/2006,13774.343829877816
07/2006,13807.758822913222
08/2006,13979.467953062525
09/2006,14215.604894939988
10/2006,14524.753381948645
11/2006,14444.64574990076
12/2006,14674.259289660997
01/2007,14930.742845132989
02/2007,14726.750724007434
03/2007,14849.00162401432
04/2007,15067.914284570576
05/2007,15466.652478641663
06/2007,15421.731676477586
07/2007,15163.465298562696
08/2007,15161.219147733922
09/2007,15346.666949216036
10/2007,15549.096034600589
11/2007,14962.96516380777
12/2007,14908.680659733058
01/2008,14133.92338852151
02/2008,14010.365519775398
03/2008,13573.135425272048
04/2008,14180.216214701622
05/2008,14355.77867174619
06/2008,13537.907918469495
07/2008,13430.117987377587
08/2008,13731.213096158986
09/2008,12970.459951384113
10/2008,12265.600329434998
11/2008,11872.75787454721
12/2008,11570.564105452351
01/2009,11540.071273038624
02/2009,10953.235713481716
03/2009,11138.034559609692
04/2009,11931.955124084783
05/2009,12199.011504938257
06/2009,12140.434726065518
07/2009,12800.204541868094
08/2009,13014.540802598334
09/2009,13177.744737730774
10/2009,12956.383763238235
11/2009,13171.929611281023
12/2009,13722.560807485412
01/2010,13603.531432184409
02/2010,13950.0761892691
03/2010,14561.141451906959
04/2010,14691.876565657805
05/2010,14507.629837435608
06/2010,14255.488632608713
07/2010,14420.181407354532
08/2010,14346.434876595766
09/2010,14507.614561387338
10/2010,14694.767725590733
11/2010,15089.686654583134
12/2010,15514.84290452065
01/2011,15427.94669219626
02/2011,15603.261376133816
03/2011,15350.074546568278
04/2011,15312.084675276594
05/2011,15421.89027477707
06/2011,15239.270654391035
07/2011,15216.974724571413
08/2011,14453.335400035648
09/2011,14203.35111210596
10/2011,14749.514958328706
11/2011,14858.991641967044
12/2011,15163.831445120697
01/2012,15514.94011120958
02/2012,15791.927893277007
03/2012,15921.284128513562
04/2012,15917.884564046923
05/2012,15632.648598828906
06/2012,15953.70418180159
07/2012,16333.69274626009
08/2012,16287.28256867888
09/2012,16348.911982361285
10/2012,16231.792287068423
11/2012,16366.724493238686
12/2012,16434.365794979858
01/2013,16623.624022349082
02/2013,16943.02844028338
03/2013,17397.841980690537
04/2013,17482.524279444624
05/2013,17513.113135569038
06/2013,17136.559589984878
07/2013,17477.062451460555
08/2013,17284.34639029896
09/2013,17610.50289867085
10/2013,17936.112602784466
11/2013,18122.21209655693
12/2013,18168.327568101835
01/2014,17931.976295857265
02/2014,18211.17869960365
03/2014,18283.090231133996
04/2014,18341.72022936355
05/2014,18789.921534511876
06/2014,18965.554834002873
07/2014,19064.850860864823
08/2014,19504.002287794665
09/2014,19678.041233443924
10/2014,19823.499044694367
11/2014,20077.89897140634
12/2014,20185.83670066294
01/2015,20927.591551217618
02/2015,21704.04289628505
03/2015,22087.14462906524
04/2015,21911.928118047683
05/2015,22201.211245073806
06/2015,21610.9838740029
07/2015,21995.387069626253
08/2015,20779.462832737096
09/2015,20342.12312038659
10/2015,21498.256851351958
11/2015,21929.32517581332
12/2015,21306.332493070262
01/2016,20485.020829748166
02/2016,20436.6736504391
03/2016,20771.26861268547
04/2016,20937.159729569823
05/2016,21241.93792736504
06/2016,21223.26193685065
07/2016,21768.654298937403
08/2016,21789.930435013455
09/2016,21836.097982890074
10/2016,21863.691443057483
11/2016,22370.645279770823
12/2016,22804.792057536626
01/2017,22900.874441121778
02/2017,23495.24975847011
03/2017,23544.263079568173
04/2017,23447.3364602894
05/2017,23387.855952981292
06/2017,23210.7539725784
07/2017,23212.200831255686
08/2017,23147.62423886821
09/2017,23438.480797474942
10/2017,23941.22530519683
11/2017,23957.398649354705
12/2017,24012.30276098297
01/2018,24260.669760613593
02/2018,23924.13120829773
03/2018,23498.785001346158
04/2018,23909.147408564982
05/2018,24393.290951344337
06/2018,24362.456486316703
07/2018,24700.486352660875
08/2018,24926.910359256544
09/2018,25090.17329243342
10/2018,24254.31172573791
11/2018,24412.451104722044
12/2018,23262.124187150563
01/2019,24283.17003595711
02/2019,24765.465676576772
03/2019,25201.193915728356
04/2019,25747.76562260014
05/2019,24890.86115473059
06/2019,25558.34687973014
07/2019,25927.81345481537
08/2019,25706.108007251423
09/2019,26261.98730561525
10/2019,26305.028884645493
11/2019,26975.009724593492
12/2019,27179.103998981056
01/2020,27264.891359107918
02/2020,26042.521496356367
03/2020,24022.363139078472
04/2020,25532.740576876127
05/2020,25811.6778503049
06/2020,26199.430850498804
07/2020,26120.15753311015
08/2020,26923.92013067125
09/2020,26709.682489863975
10/2020,26331.228284656223
11/2020,27824.276844748187
12/2020,28186.227717533235
01/2021,28292.633491501714
02/2021,28701.629475062036
03/2021,29766.984216439767
04/2021,30000.55981454109
05/2021,30104.486472708784
06/2021,30855.290307623058
07/2021,30972.160225664273
08/2021,31555.970101019262
09/2021,31143.050812262678
10/2021,32032.078295857
11/2021,32028.662047845537
12/2021,32923.97789621931
01/2022,32164.88881844705
02/2022,31587.6412523852
03/2022,32160.48580134559
04/2022,31555.497816937386
05/2022,31274.962973657275
06/2022,30246.115048941603
07/2022,31801.90119708697
08/2022,31465.389177032743
09/2022,30121.829351186647
10/2022,30864.06688317959
11/2022,31413.563520652013
12/2022,30215.781641903315
01/2023,31192.77597799994
02/2023,31044.908010032428
03/2023,31200.335420448093
04/2023,31316.527672467295
05/2023,31676.038719322765
06/2023,32479.667658394057
07/2023,32949.58877324089
08/2023,32704.900219865318
09/2023,32412.295811576692
10/2023,31817.71126440545
11/2023,33025.19155801364
12/2023,33807.90070691861
01/2024,34388.43681821613
02/2024,35339.580232515254
03/2024,36093.280403893725
04/2024,35597.5675463748
05/2024,36253.26792182313
06/2024,37104.96434575216
07/2024,37256.493041941336
08/2024,37347.75278085715
09/2024,37728.61204266346
10/2024,37877.74470014493
11/2024,39479.46792111362
12/2024,39404.54837883493
01/2025,40175.679271297355